city_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,ratnagiri,0,IN,1578422380,91,16.98,73.3,70.32,0.85
89,nome,1,US,1578422380,25,30.04,-94.42,64.99,14.99
90,iquique,43,CL,1578422380,57,-20.22,-70.14,78.8,20.8
91,bilibino,0,RU,1578422380,85,68.06,166.44,-26.79,2.82
92,mar del plata,51,AR,1578422380,26,-46.43,-67.52,73.83,34.34
93,morehead,90,US,1578422380,81,38.18,-83.43,46.4,8.05
94,ruwi,2,OM,1578422380,56,23.6,58.55,69.8,3.36
95,san jeronimo,69,PE,1578422380,100,-13.65,-73.37,37.4,13.87
96,piranshahr,0,IR,1578422380,64,36.7,45.14,22.12,2.51
97,vao,100,EE,1578422380,87,59.1,26.19,38.48,12.24
98,haizhou,80,CN,1578422380,82,34.58,119.13,30.94,9.19
99,banepa,75,NP,1578422380,87,27.63,85.52,50.0,2.24
100,yumen,56,CN,1578422380,66,40.29,97.04,15.57,5.41
101,bintulu,75,MY,1578422286,100,3.17,113.03,77.0,1.86
102,cidreira,9,BR,1578422380,81,-30.17,-50.22,76.39,23.62
103,tuktoyaktuk,20,CA,1578422380,73,69.44,-133.03,-34.6,6.93
104,caravelas,64,BR,1578422380,68,-17.73,-39.27,85.91,14.0
105,yerbogachen,100,RU,1578422380,94,61.28,108.01,11.7,9.46
106,hami,0,CN,1578422380,53,42.84,93.51,16.11,2.62
107,launceston,90,AU,1578422380,87,-41.43,147.14,62.01,6.93
108,saint-ambroise,75,CA,1578422380,72,48.56,-71.32,19.0,9.17
109,praia da vitoria,40,PT,1578422380,72,38.73,-27.07,68.0,21.03
110,haines junction,100,CA,1578422381,99,60.75,-137.51,-7.69,5.12
111,anadyr,75,RU,1578422381,75,64.73,177.51,-16.01,4.47
112,severo-kurilsk,84,RU,1578422381,90,50.68,156.12,21.15,11.68
113,avarua,81,CK,1578422212,83,-21.21,-159.78,80.6,8.05
114,prado,41,CO,1578422381,58,3.75,-74.93,81.16,7.05
115,kodiak,1,US,1578422381,60,39.95,-94.76,48.0,6.93
116,pitimbu,75,BR,1578422381,70,-7.47,-34.81,86.0,13.87
117,esperance,90,AU,1578422381,100,-33.86,121.89,64.4,9.17
118,taree,92,AU,1578422381,83,-31.91,152.46,71.6,2.24
119,lata,100,IN,1578422381,98,30.78,78.62,15.31,8.88
120,praia,75,BR,1578422381,55,-20.25,-43.81,87.8,6.93
121,provideniya,29,RU,1578422381,93,64.42,-173.23,-12.37,1.25
122,rio grande,20,BR,1578422160,35,-32.03,-52.1,87.8,11.41
123,yellowknife,40,CA,1578422106,66,62.45,-114.38,-32.8,4.7
124,fortuna,1,US,1578422381,93,40.6,-124.16,50.0,10.29
125,imeni poliny osipenko,66,RU,1578422381,97,52.42,136.49,-5.53,5.82
126,russell,1,US,1578422381,31,38.9,-98.86,54.0,18.34
